Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
,,51.46127879520,,"0","0","0","0","0",0.00000000000,"0","0","1182",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","3973",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,51.46127879520
,,154.29830292600,,"0","0","0","0","0",0.00000000000,"0","1","1183",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","3987",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,154.29830292600
,,633.92936519300,,"0","0","0","0","0",0.00000000000,"0","0","1184",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","4039",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,633.92936519300
,,377.34897885200,,"0","0","0","0","0",0.00000000000,"0","1","1185",gda_base_cycle_network,"segregatedcyclelane;buslane",,"0","0","1","0","0","0","1","1","1","1","4041",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,377.34897885200
,,286.91860211100,,"0","0","0","0","0",0.00000000000,"0","1","1186",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","1","4073",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,286.91860211100
,,13.35092530910,,"0","0","0","0","0",0.00000000000,"0","0","1187",gda_base_cycle_network,shareduse,,"0","1","0","0","0","0","1","0","1","1","4233",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,13.35092530910
,,42.80993212520,,"0","0","0","0","0",0.00000000000,"1","0","1188",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","4256",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,42.80993212520
,,7.18816089246,,"0","0","0","0","0",0.00000000000,"1","0","1189",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","4521",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,7.18816089246
,,14.85355860620,,"0","0","0","0","0",0.00000000000,"1","1","1190",gda_base_cycle_network,"surfacechange;buslane",,"0","0","0","0","0","0","1","1","1","1","4592",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,14.85355860620
,,16.71596765320,,"0","0","0","0","0",0.00000000000,"0","0","1191",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","5591",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,16.71596765320
,,78.60938055950,,"0","0","0","0","0",0.00000000000,"0","1","1192",gda_base_cycle_network,"shareduse;buslane",,"0","1","0","0","0","0","1","1","1","1","5843",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,78.60938055950
,,82.46944868200,,"0","0","0","0","0",0.00000000000,"0","1","1193",gda_base_cycle_network,buslane,,"0","0","0","0","0","0","1","0","1","0","4831",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,82.46944868200
